經度,緯度,屋齡,面積,建物類型,用途,樓別/樓高,佈局,電梯,管理員,車位數量,價格,行政區,交易年份
120.70061145128213,24.246758630438688,29,50.00,華廈(10層含以下有電梯),住商用,"一層,二層,騎樓/七層",2房2廳1衛,有,有,0,"8,589,999",豐原區,113
120.72770434789986,24.250385097547564,33,35.27,華廈(10層含以下有電梯),住家用,三層/五層,3房2廳2衛,有,有,0,"7,500,000",豐原區,113
120.73227817696996,24.248280365601957,39,30.25,透天厝,住家用,全/二層,4房2廳2衛,無,無,0,"11,880,000",豐原區,113
120.72637289275967,24.255917608461974,28,20.98,華廈(10層含以下有電梯),住家用,四層/八層,2房2廳1衛,有,有,0,"6,880,000",豐原區,113
120.72787106989824,24.250710435690387,35,32.58,公寓(5樓含以下無電梯),住家用,四層/五層,3房2廳2衛,無,有,0,"6,700,000",豐原區,113
120.72764633747164,24.24987934637125,29,28.62,住宅大樓(11層含以上有電梯),住家用,九層/十二層,2房2廳1衛,有,有,0,"5,800,000",豐原區,113
120.70770358359094,24.241634796052196,46,33.46,透天厝,住家用,全/二層,3房3廳2衛,無,無,0,"10,500,000",豐原區,113
120.72851804022062,24.252120157179796,41,27.05,公寓(5樓含以下無電梯),住家用,三層/四層,3房2廳2衛,無,無,0,"6,800,000",豐原區,113
120.70930750107391,24.237818504917282,55,27.78,透天厝,住家用,全/二層,2房2廳1衛,無,無,0,"4,800,000",豐原區,113
120.70692131510087,24.252125230560967,20,13.79,透天厝,住家用,全/一層,2衛,無,無,0,"39,000,000",豐原區,113
120.72315102537232,24.247496547652702,18,58.47,住宅大樓(11層含以上有電梯),住家用,九層/十四層,4房2廳2衛,有,有,1,"19,000,000",豐原區,113
120.70188755106581,24.24428712085063,30,40.67,華廈(10層含以下有電梯),住家用,七層/九層,3房2廳1衛,有,有,1,"9,080,000",豐原區,113
120.72561967043582,24.25354156592176,5,33.58,住宅大樓(11層含以上有電梯),住家用,三層/十二層,2房1廳1衛,有,有,1,"6,800,000",豐原區,113
120.70720991176249,24.255114447887195,29,201.19,華廈(10層含以下有電梯),商辦用,"一層,二層,騎樓/十層",3廳1衛,有,有,2,"36,600,000",豐原區,113
120.7283766675209,24.24913122468402,30,38.88,華廈(10層含以下有電梯),住家用,五層/五層,3房2廳2衛,有,有,1,"7,700,000",豐原區,113
120.71514173391444,24.25774797144366,,43.25,住宅大樓(11層含以上有電梯),住家用,十三層/十五層,4房2廳2衛,有,有,1,"17,880,000",豐原區,113
120.72178388345995,24.24219390676759,8,44.79,住宅大樓(11層含以上有電梯),住家用,四層/十一層,3房2廳2衛,有,有,1,"13,880,000",豐原區,113
120.71520614258378,24.242091450752383,30,25.26,住宅大樓(11層含以上有電梯),住家用,三層/十二層,2房2廳1衛,有,有,1,"5,610,000",豐原區,113
120.72870859955165,24.25049523816013,7,43.66,住宅大樓(11層含以上有電梯),住家用,十二層/十二層,3房2廳2衛,有,有,1,"14,950,000",豐原區,113
120.72178388345995,24.24219390676759,8,37.90,住宅大樓(11層含以上有電梯),住家用,九層/十一層,2房2廳1衛,有,有,1,"11,850,000",豐原區,113
120.70672584088526,24.238590065330815,25,43.19,華廈(10層含以下有電梯),住家用,三層/九層,3房2廳2衛,有,有,1,"9,080,000",豐原區,113
120.71520614258378,24.242091450752383,30,40.46,住宅大樓(11層含以上有電梯),住家用,十層/十二層,3房2廳2衛,有,有,1,"10,100,000",豐原區,113
120.72315102537232,24.247496547652702,18,58.47,住宅大樓(11層含以上有電梯),住家用,十一層/十四層,3房2廳2衛,有,有,1,"18,500,000",豐原區,113
120.72236569241292,24.241815741342727,25,37.18,華廈(10層含以下有電梯),住家用,七層/九層,3房2廳2衛,有,有,1,"8,900,000",豐原區,113
120.73583047421734,24.249604851821736,32,39.62,華廈(10層含以下有電梯),住家用,二層/五層,3房2廳2衛,有,有,1,"5,000,000",豐原區,113
120.7132818017058,24.248327015193112,24,38.71,華廈(10層含以下有電梯),住家用,五層/五層,3房2廳2衛,有,有,1,"7,680,000",豐原區,113
120.72911769673344,24.25262685853496,18,43.20,住宅大樓(11層含以上有電梯),住家用,十三層/十三層,4房2廳2衛,有,有,1,"13,000,000",豐原區,113
